claim,label,reference_context,reference_explanation
"Pengendara sepeda motor wajib menyalakan lampu utama pada siang hari.",BENAR,"Pengemudi Sepeda Motor selain mematuhi ketentuan sebagaimana dimaksud pada ayat (1) wajib menyalakan lampu utama pada siang hari.","Berdasarkan Pasal 107 ayat (2) UU Nomor 22 Tahun 2009, pengemudi sepeda motor diwajibkan untuk menyalakan lampu utama pada siang hari."
"Pengendara sepeda motor boleh tidak menggunakan helm SNI jika hanya berkendara jarak dekat atau di dalam komplek perumahan.",SALAH,"Setiap orang yang mengemudikan Sepeda Motor dan Penumpang Sepeda Motor wajib mengenakan helm yang memenuhi standar nasional Indonesia.","Klaim tersebut salah. Pasal 106 ayat (8) mewajibkan setiap pengemudi dan penumpang sepeda motor untuk selalu menggunakan helm berstandar nasional Indonesia (SNI) tanpa pengecualian jarak atau lokasi."
"Pejalan kaki memiliki hak utama atas fasilitas penyeberangan jalan dan trotoar.",BENAR,"Pejalan Kaki berhak atas ketersediaan fasilitas pendukung yang berupa trotoar, tempat penyeberangan, dan fasilitas lain.","Berdasarkan Pasal 131 UU Nomor 22 Tahun 2009, pejalan kaki memang memiliki hak atas fasilitas pendukung seperti trotoar dan tempat penyeberangan."
"Mobil listrik dibebaskan dari aturan ganjil genap di seluruh jalan protokol di Indonesia.",TIDAK CUKUP INFORMASI,"","Dokumen UU Nomor 22 Tahun 2009 tidak memuat aturan spesifik mengenai pembebasan aturan ganjil genap untuk kendaraan listrik. Aturan tersebut biasanya diatur dalam Peraturan Daerah atau Peraturan Gubernur."
"SIM C dapat digunakan untuk mengemudikan kendaraan roda empat jika pengemudi sudah berusia di atas 20 tahun.",SALAH,"Surat Izin Mengemudi C berlaku untuk mengemudikan Sepeda Motor","Menurut Pasal 80 UU Lalu Lintas, SIM C secara spesifik hanya berlaku untuk mengemudikan sepeda motor, bukan untuk kendaraan roda empat, tanpa memandang usia pengemudi."
"Pengemudi kendaraan bermotor wajib mematuhi rambu lalu lintas dan Alat Pemberi Isyarat Lalu Lintas (APILL).",BENAR,"Setiap orang yang mengemudikan Kendaraan Bermotor di Jalan wajib mematuhi ketentuan: a. rambu perintah atau rambu larangan;  b. Marka Jalan; c. Alat Pemberi Isyarat Lalu Lintas","Berdasarkan Pasal 106 ayat (4) huruf a UU Nomor 22 Tahun 2009, setiap pengemudi wajib mematuhi rambu lalu lintas dan APILL."
"Ambulans yang sedang menjalankan tugas memiliki hak utama untuk didahulukan di jalan.",BENAR,"Pengguna Jalan yang memperoleh hak utama untuk didahulukan sesuai dengan urutan berikut:   a. Kendaraan pemadam kebakaran yang sedang melaksanakan tugas;  b. ambulans yang mengangkut orang sakit;  ","Klaim ini benar. Pasal 134 huruf b UU Nomor 22 Tahun 2009 menyatakan bahwa ambulans yang sedang menjalankan tugas memperoleh hak utama untuk didahulukan oleh pengguna jalan lainnya."
"Pengemudi kendaraan bermotor yang menyebabkan kecelakaan lalu lintas karena kelalaiannya dapat dipidana.",BENAR,"Setiap orang yang mengemudikan Kendaraan Bermotor yang karena kelalaiannya mengakibatkan Kecelakaan Lalu Lintas dengan kerusakan Kendaraan dan/atau barang sebagaimana dimaksud dalam Pasal 229 ayat (2), dipidana dengan pidana penjara paling lama 6 (enam) bulan","Sesuai Pasal 310 UU Nomor 22 Tahun 2009, pengemudi yang lalai hingga menyebabkan kecelakaan dapat dikenai sanksi pidana. Besarnya pidana bergantung pada akibat yang ditimbulkan."
"Sepeda motor boleh membawa lebih dari satu penumpang apabila kapasitas mesin di atas 250 cc.",SALAH,"Setiap orang yang mengemudikan Sepeda Motor tanpa kereta samping dilarang membawa Penumpang lebih dari 1 (satu) orang.","Klaim ini salah. Pasal 106 ayat (9) UU Nomor 22 Tahun 2009 membatasi sepeda motor hanya boleh mengangkut paling banyak satu orang penumpang, tanpa membedakan kapasitas mesin."
"Setiap pengemudi kendaraan bermotor wajib memiliki Surat Tanda Nomor Kendaraan (STNK) dalam bentuk digital melalui aplikasi resmi pemerintah.",TIDAK CUKUP INFORMASI,"","UU Nomor 22 Tahun 2009 mewajibkan kendaraan bermotor memiliki STNK yang sah, tetapi tidak mengatur bahwa STNK harus berbentuk digital atau disimpan melalui aplikasi resmi pemerintah. Ketentuan tersebut berada di luar ruang lingkup UU ini."cd D:\tpb-part3
